date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:31	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2010:47:30%20GMT	http://demo.themekita.com/robots.txt		(from )
03:47:32	72801/72801	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2003:31:46%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/demo1/	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/demo1/index.html	(from )
03:47:32	13324/13324	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20May%202018%2002:01:02%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/js/plugin/webfont/webfont.min.js	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/js/plugin/webfont/webfont.min.js	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:33	140941/140941	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jun%202019%2004:44:36%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/css/bootstrap.min.css	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/css/bootstrap.min.css	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:35	548758/548758	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2008:05:04%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/css/atlantis.css	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/css/atlantis.css	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:36	5535/5535	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Dec%202018%2002:39:54%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/css/demo.css	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/css/demo.css	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:36	72801/72801	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2003:31:46%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/demo1/index.html	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/demo1/index-2.html	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:36	3072/3072	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2006:01:42%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/img/jm_denis.jpg	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/img/jm_denis.jpg	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:36	3849/3849	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2006:00:26%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/img/chadengle.jpg	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/img/chadengle.jpg	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:37	15450/15450	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2006:00:04%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/img/mlane.jpg	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/img/mlane.jpg	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
03:47:38	11365/11365	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202018%2012:44:48%20GMT	http://demo.themekita.com/atlantis/livepreview/examples/assets/img/profile2.jpg	D:/spa-theme/demo.themekita.com/atlantis/livepreview/examples/assets/img/profile2.jpg	(from http://demo.themekita.com/atlantis/livepreview/examples/demo1/)
